"A.crassip";"A.lacustr";"A.osteomy";"Ast.lacus";"C.britski";"C.kelberi";"C.modestu";"C.nagelii";"C.piquiti";"E.triline";"G.inaequi";"G.sveni";"H.littora";"H.mbigua";"H.oremacu";"H.orthono";"H.platyrh";"H.unitaen";"Hopli.sp2";"Hopli.sp3";"Hopli.spp";"I.labrosu";"L.frideri";"L.lacustr";"L.platyme";"M.aff.int";"M.lippinc";"M.macroce";"M.piavuss";"P.ambrose";"P.corrusc";"P.galeatu";"P.granulo";"P.lineatu";"P.maculat";"P.mesopot";"P.mysteri";"P.squamos";"R.descalv";"R.hahni";"R.vulpinu";"S.borelli";"S.brasili";"S.brevipi";"S.insculp";"S.lima";"S.maculat";"S.margina";"S.pappate";"T.paragua";"ano.mes"
0.5;0.363636363636364;0.525641025641026;0.2;0;0.142857142857143;NA;NA;1;1;NA;0.75;0.25;0.25;NA;NA;0.875;NA;0.25;0.5;NA;0.6;NA;0.454545454545455;0.13135593220339;0.283018867924528;0.5;NA;NA;0.347826086956522;0.857142857142857;0.242105263157895;1;0.95;0.416666666666667;1;1;0.333333333333333;0.307692307692308;NA;1;0.362637362637363;0.5;0.285714285714286;0.37037037037037;0.5;0.166666666666667;0.588235294117647;0.4;NA;"2008/09"
NA;0.44;0.631578947368421;0.666666666666667;0.25;0.266666666666667;NA;1;1;1;1;0.869565217391304;0.13953488372093;0.238095238095238;0.8;0;0.833333333333333;0.0943396226415094;0.289473684210526;0;NA;NA;0.5;0.210526315789474;0.207547169811321;0.17910447761194;1;NA;0;0.617647058823529;0.75;0.311926605504587;0;0.8875;NA;1;0.5;0.666666666666667;0.294117647058824;NA;0.6;0.333333333333333;NA;0.662337662337662;0.446808510638298;0;0.25;0.481012658227848;0.454545454545455;NA;"2008/11"
0.5;0.8;0.454545454545455;0.25;NA;0.666666666666667;NA;NA;NA;1;1;0.6875;0.251798561151079;0.230769230769231;NA;NA;0.666666666666667;0.227272727272727;0.282051282051282;0.333333333333333;NA;0;0.333333333333333;0.583333333333333;0.107438016528926;0;1;0.5;NA;0.323076923076923;1;0.338028169014085;0.666666666666667;0.774193548387097;0.5;0.928571428571429;NA;0.666666666666667;0.4;1;0.6;0.2;0;NA;0.428571428571429;0.25;0.111111111111111;0.444444444444444;0.181818181818182;NA;"2009/03"
0;0.222222222222222;0.333333333333333;0;0;0.428571428571429;NA;NA;1;1;1;0.857142857142857;0.46875;0.413793103448276;NA;NA;1;NA;0.2;0.5;NA;0.333333333333333;NA;0.266666666666667;0.18018018018018;0;1;0.5;NA;0.625;0.8;0.0952380952380952;0.875;0.857142857142857;0.4;NA;NA;0.333333333333333;0;NA;NA;0.166666666666667;NA;0.166666666666667;0;0;0;0.285714285714286;0.0833333333333333;0;"2009/06"
0.8;0.444444444444444;0.823529411764706;0.0769230769230769;0;0.0909090909090909;NA;NA;1;1;1;0.5;0.132075471698113;0.275862068965517;NA;0.5;1;0.2;0.2;0.125;NA;0;0;0.230769230769231;0.215116279069767;0.333333333333333;1;NA;0;0.294117647058824;1;0.394366197183099;0.666666666666667;0.8;0.363636363636364;NA;1;1;0.25;1;1;0.258064516129032;0;0.333333333333333;0;0;0.5;0.266666666666667;0.176470588235294;NA;"2009/09"
1;0.666666666666667;NA;0.333333333333333;0;0.2;0;NA;NA;1;1;0.653061224489796;0.726086956521739;0.611111111111111;0.666666666666667;0.314285714285714;NA;1;0.636363636363636;0.333333333333333;NA;NA;0.411764705882353;0.565217391304348;0.306122448979592;0.645833333333333;0.5;1;0.4;0.44;1;0.372549019607843;0;0.844444444444444;0.75;1;NA;NA;0;1;1;0.290322580645161;0.666666666666667;0.518518518518518;0.460674157303371;NA;0.363636363636364;0.111111111111111;0.333333333333333;0.368421052631579;"2009/12"
0;0.605;0.983050847457627;0.772727272727273;NA;0.613496932515337;NA;NA;1;0;1;0.576923076923077;0.206666666666667;0.28;1;0.912280701754386;NA;0.35;0.642857142857143;0.25;0;NA;0.928571428571429;0.753768844221106;0.178571428571429;0.36046511627907;1;0.125;0.972972972972973;0.436363636363636;0.975;0.587677725118483;0.882352941176471;0.987455197132617;0.951219512195122;1;NA;NA;0.368421052631579;1;1;0.602209944751381;1;1;0.770833333333333;1;0.482142857142857;0.907665505226481;0.6;0.714285714285714;"2010/03"
0.481481481481481;0.244604316546763;0.6;0.151515151515152;0;0.346666666666667;NA;NA;1;NA;1;1;0.037037037037037;0.0795454545454545;NA;1;1;0.4;0.142857142857143;0.12;0;NA;1;0.472972972972973;0.220812182741117;0;1;0.285714285714286;0.955555555555556;0.527777777777778;0.898305084745763;0.773006134969325;1;0.950764006791171;0.62962962962963;1;NA;NA;0;1;0;0.517241379310345;1;0.111111111111111;0.188679245283019;0.5;0.277777777777778;0.920634920634921;0.117647058823529;1;"2010/06"
0.714285714285714;0.371621621621622;0.903225806451613;0.210526315789474;0;0.533333333333333;1;NA;0.666666666666667;NA;NA;0.5;0.4;0.371428571428571;0.666666666666667;0.8;0.6;NA;0.666666666666667;0.692307692307692;NA;0.222222222222222;NA;0.608695652173913;0.369047619047619;0;1;0.8;0.75;0.372093023255814;0.657894736842105;0.675675675675676;1;0.99546485260771;0.62962962962963;1;1;1;0.5;1;1;0.792349726775956;NA;0.315789473684211;0.456896551724138;0.212121212121212;0.189189189189189;0.8;0.555555555555556;1;"2010/09"
NA;0.402730375426621;0.538461538461538;0.263157894736842;0;0.173913043478261;NA;NA;0;1;1;0.529411764705882;NA;0.24390243902439;0;0.67948717948718;0.853658536585366;NA;0.217391304347826;0.5;NA;0.6875;0.785714285714286;0.529411764705882;0.130597014925373;0.102739726027397;NA;0;0.739130434782609;0.136;0.882352941176471;0.333333333333333;0.8;0.940677966101695;0.593220338983051;0.944444444444444;NA;0.3;0.223076923076923;1;0.5;0.525423728813559;0.6;0.644736842105263;0.202247191011236;0.25;0.0197368421052632;0.550488599348534;0;0.752688172043011;"2010/12"
