"ano.mes"	"manha"	"tarde"	"media"
"126"	"2010/3"	381.838709677419	391.096774193548	386.774193548387
"127"	"2010/4"	405.266666666667	406.5	406.133333333333
"128"	"2010/5"	277.193548387097	288.483870967742	283.064516129032
"129"	"2010/6"	252.933333333333	262.5	257.833333333333
"130"	"2010/7"	259.903225806452	268.548387096774	264.483870967742
"131"	"2010/8"	253.225806451613	265.935483870968	259.806451612903
"132"	"2010/9"	266.9	275.066666666667	271.2
"122"	"2010/10"	272.258064516129	277.870967741935	275.258064516129
"123"	"2010/11"	283.466666666667	291.333333333333	287.666666666667
"124"	"2010/12"	293.096774193548	295.935483870968	294.677419354839
"133"	"2011/1"	331.451612903226	340.677419354839	336.225806451613
"137"	"2011/2"	346.642857142857	351.321428571429	349.214285714286
"138"	"2011/3"	536.258064516129	543.967741935484	540.322580645161
"139"	"2011/4"	393.5	395	394.466666666667
"140"	"2011/5"	276.903225806452	286.451612903226	281.935483870968
"141"	"2011/6"	275.9	279.2	277.733333333333
"142"	"2011/7"	264.903225806452	272.548387096774	268.967741935484
"143"	"2011/8"	272.774193548387	283.193548387097	278.161290322581
"144"	"2011/9"	244.666666666667	252.7	248.833333333333
"134"	"2011/10"	265.612903225806	276.322580645161	271.129032258065
"135"	"2011/11"	301.533333333333	302.933333333333	302.4
"136"	"2011/12"	311.838709677419	318.483870967742	315.41935483871
"145"	"2012/1"	337.354838709677	348.258064516129	343
"149"	"2012/2"	305.586206896552	311.137931034483	308.586206896552
"150"	"2012/3"	315.967741935484	323.741935483871	320.064516129032
"151"	"2012/4"	304	304.566666666667	304.366666666667
"152"	"2012/5"	274.161290322581	280.935483870968	277.741935483871
"153"	"2012/6"	325.433333333333	328.633333333333	327.333333333333
"154"	"2012/7"	289.774193548387	289.870967741935	290.064516129032
"155"	"2012/8"	281.935483870968	292.354838709677	287.290322580645
"156"	"2012/9"	269.866666666667	278	274.133333333333
"146"	"2012/10"	266	272.322580645161	269.354838709677
"147"	"2012/11"	257.666666666667	260.9	259.566666666667
"148"	"2012/12"	279.354838709677	281.129032258065	280.483870967742
"157"	"2013/1"	260.258064516129	268.225806451613	264.322580645161
"161"	"2013/2"	307.035714285714	311.964285714286	309.75
"162"	"2013/3"	262.483870967742	265.032258064516	263.967741935484
"163"	"2013/4"	262.5	269.666666666667	266.3
"164"	"2013/5"	231.774193548387	233.290322580645	232.709677419355
"165"	"2013/6"	293.933333333333	295.233333333333	294.8
"166"	"2013/7"	285.193548387097	283.258064516129	284.451612903226
"167"	"2013/8"	237.161290322581	237.677419354839	237.645161290323
"168"	"2013/9"	248.641025641026	258.794871794872	253.948717948718
"158"	"2013/10"	245.5	251.5	248.727272727273
"159"	"2013/11"	252.066666666667	263.733333333333	258.166666666667
"160"	"2013/12"	286.41935483871	294.774193548387	290.838709677419
"169"	"2014/1"	289.258064516129	297.451612903226	293.645161290323
"173"	"2014/2"	301.678571428571	304.178571428571	303.107142857143
"174"	"2014/3"	263.322580645161	272.161290322581	267.967741935484
"175"	"2014/4"	245.666666666667	250.333333333333	248.233333333333
"176"	"2014/5"	192.709677419355	188.612903225806	190.870967741935
"177"	"2014/6"	151.833333333333	149.033333333333	150.666666666667
"178"	"2014/7"	153.516129032258	150.612903225806	152.225806451613
"179"	"2014/8"	166.290322580645	166.322580645161	166.58064516129
"180"	"2014/9"	175.076923076923	172.769230769231	174.153846153846
"170"	"2014/10"	176.136363636364	181.863636363636	179.272727272727
"171"	"2014/11"	214.833333333333	222.533333333333	218.966666666667
"172"	"2014/12"	201.967741935484	221.483870967742	212
"181"	"2015/1"	240.967741935484	257.870967741935	249.645161290323
"185"	"2015/2"	234.357142857143	244.5	239.678571428571
"186"	"2015/3"	241.677419354839	248.548387096774	245.290322580645
"187"	"2015/4"	211.8	212.133333333333	212.133333333333
"188"	"2015/5"	175.516129032258	177.064516129032	176.516129032258
"189"	"2015/6"	168.766666666667	168.9	169.066666666667
"190"	"2015/7"	142.322580645161	139.903225806452	141.354838709677
"191"	"2015/8"	132.741935483871	132.225806451613	132.741935483871
"192"	"2015/9"	177.307692307692	181.794871794872	179.717948717949
"182"	"2015/10"	264.318181818182	263.590909090909	264.181818181818
"183"	"2015/11"	301.833333333333	314.4	308.333333333333
"184"	"2015/12"	321.935483870968	329.903225806452	326.193548387097
"193"	"2016/1"	430.193548387097	422.806451612903	426.741935483871
"197"	"2016/2"	329.448275862069	339.172413793103	334.51724137931
"198"	"2016/3"	387.806451612903	387.451612903226	387.838709677419
"199"	"2016/4"	265.433333333333	263.4	264.533333333333
"200"	"2016/5"	247.774193548387	250.096774193548	249.225806451613
"201"	"2016/6"	317.266666666667	322.233333333333	320
"202"	"2016/7"	235.677419354839	237.387096774194	236.806451612903
